rc,0	
rt,17	
svr,181734975	
lt,1	
full,0	
data
code,000001	
market,1	
name,上证指数	
decimal,2	
dktotal,7132	
2019-11-29,2885.97,2871.98,2892.39,2858.58,122612969,140371316736.00,1.17
2019-12-02,2874.45,2875.81,2888.89,2870.24,128755807,139351760896.00,0.65
2019-12-03,2869.88,2884.70,2884.86,2857.32,123778742,135278612480.00,0.96
2019-12-04,2876.91,2878.12,2882.50,2869.42,125543652,135879221248.00,0.45
2019-12-05,2886.52,2899.47,2902.00,2885.08,143163095,159736594432.00,0.59
2019-12-06,2902.28,2912.01,2912.01,2894.75,134128878,149507334144.00,0.60
2019-12-09,2914.46,2914.48,2919.59,2905.25,160796526,174546477056.00,0.49
2019-12-10,2908.94,2917.32,2919.20,2902.79,170123999,180617289728.00,0.56
2019-12-11,2922.60,2924.42,2928.26,2915.00,165541087,175716089856.00,0.45
2019-12-12,2926.34,2915.70,2926.34,2913.48,151760804,166044164096.00,0.44
2019-12-13,2937.78,2967.68,2969.98,2935.85,211978586,234036543488.00,1.17
2019-12-16,2970.97,2984.39,2984.64,2958.71,211862118,237666762752.00,0.87
2019-12-17,2985.26,3022.42,3039.38,2982.50,293032253,302090899456.00,1.91
2019-12-18,3021.47,3017.04,3033.23,3011.72,244089692,259173629952.00,0.71
2019-12-19,3017.15,3017.07,3021.42,3007.99,208624264,220688293888.00,0.45
2019-12-20,3019.64,3004.94,3027.48,3002.26,215075756,223305035776.00,0.84
2019-12-23,2999.04,2962.75,3009.34,2960.44,205716618,218484273152.00,1.63
2019-12-24,2965.83,2982.68,2983.82,2960.68,163030249,167366668288.00,0.78
2019-12-25,2980.43,2981.88,2988.29,2970.66,175654029,189608562688.00,0.59
2019-12-26,2981.25,3007.35,3007.35,2980.40,182440425,195586080768.00,0.90
2019-12-27,3006.85,3005.04,3036.11,3003.63,247102779,258118737920.00,1.08
2019-12-30,2998.17,3040.02,3041.40,2983.34,248066529,267382992896.00,1.93
2019-12-31,3036.39,3050.12,3051.68,3030.51,217429023,226763993088.00,0.70
2020-01-02,3066.34,3085.20,3098.10,3066.34,292470208,327197122560.00,1.04
2020-01-03,3089.02,3083.79,3093.82,3074.52,261496668,289991708672.00,0.63
2020-01-06,3070.91,3083.41,3107.20,3065.31,312575841,331182551040.00,1.36
2020-01-07,3085.49,3104.80,3105.45,3084.33,276583112,288159227904.00,0.68
2020-01-08,3094.24,3066.89,3094.24,3059.13,297872553,306517393408.00,1.13
2020-01-09,3082.64,3094.88,3097.33,3080.13,243435648,271716020224.00,0.56
2020-01-10,3102.29,3092.29,3105.22,3081.40,210442463,241555668992.00,0.77
2020-01-13,3091.49,3115.57,3115.57,3075.38,210621005,258524057600.00,1.30
2020-01-14,3120.67,3106.82,3127.17,3105.60,229973770,271542439936.00,0.69
2020-01-15,3103.17,3090.04,3107.94,3082.04,202313024,232913444864.00,0.83
2020-01-16,3095.73,3074.08,3096.37,3070.88,203375475,236843360256.00,0.82
2020-01-17,3081.46,3075.50,3091.95,3067.25,190304300,242273046528.00,0.80
2020-01-20,3082.11,3095.79,3096.31,3070.48,210493340,271122456576.00,0.84
2020-01-21,3085.79,3052.14,3085.79,3051.23,234830738,286268096512.00,1.12
2020-01-22,3038.49,3060.75,3069.25,3006.27,223852864,278456922112.00,2.06
2020-01-23,3037.95,2976.53,3045.04,2955.35,272763233,327490359296.00,2.93
2020-02-03,2716.70,2746.61,2766.58,2716.70,215912102,257019596800.00,1.68
2020-02-04,2685.27,2783.29,2786.16,2685.27,364046200,374068465664.00,3.67
2020-02-05,2792.37,2818.09,2842.74,2778.86,309761823,349184114688.00,2.30
2020-02-06,2826.89,2866.51,2876.59,2807.61,316392143,358582591488.00,2.45
2020-02-07,2858.93,2875.96,2875.96,2838.77,309479642,362384162816.00,1.30
2020-02-10,2860.50,2890.49,2891.85,2851.05,294929784,341520400384.00,1.42
2020-02-11,2894.54,2901.67,2913.82,2882.24,269168335,302956847104.00,1.09
2020-02-12,2895.56,2926.90,2926.90,2892.42,248733430,297534418944.00,1.19
2020-02-13,2927.14,2906.07,2935.41,2901.24,274804844,334526328832.00,1.17
2020-02-14,2899.87,2917.01,2926.94,2899.57,250650627,308080369664.00,0.94
2020-02-17,2924.99,2983.62,2983.64,2924.99,313198008,367014338560.00,2.01
2020-02-18,2981.41,2984.97,2990.60,2960.78,311665912,374998560768.00,1.00
2020-02-19,2979.52,2975.40,2998.27,2971.82,315141151,381331161088.00,0.89
2020-02-20,2981.88,3030.15,3031.37,2968.45,345732882,413761363968.00,2.11
2020-02-21,3022.25,3039.67,3058.90,3020.14,364557276,445062078464.00,1.28
2020-02-24,3027.89,3015.43,3033.35,3007.36,187112906,227096276992.00,0.86
